Gene,RPKM,mRNA per cell cycle,Time to refire
dnaA,453.919,14.46105338,124.4722603
dnaN,407.802,13.30720604,135.2650582
rlbA,585.2400224,17.74670536,101.427277
recF,624.945,18.7401239,96.05059228
remB,585.2400224,17.74670536,101.427277
gyrB,675.245,19.9986299,90.00616587
gyrA,798.482,23.08201964,77.98277742
rrnO16S,585.2400224,17.74670536,101.427277
trnOIle,585.2400224,17.74670536,101.427277
trnOAla,585.2400224,17.74670536,101.427277
rrnO23S,585.2400224,17.74670536,101.427277
rrnO5S,585.2400224,17.74670536,101.427277
yaaC,7.2689,3.285867878,547.8004798
guaB,1849.28196,49.37303464,36.45714737
dacA,1135,31.5017,57.13977341
pdxS,519.055,16.0907561,111.8654704
pdxT,678.039,20.06853578,89.69264224
tboS,585.2400224,17.74670536,101.427277
serS,438.643,14.07884786,127.8513709
trnSLSer1,585.2400224,17.74670536,101.427277
dck,302.108,10.66274216,168.8121098
dgk,585.2400224,17.74670536,101.427277
sleL,585.2400224,17.74670536,101.427277
yaaI,33.3426,3.938231852,457.0579051
tadA,73.05163539,4.931751917,364.9818625
scr,585.2400224,17.74670536,101.427277
dnaX,282.058,10.16109116,177.1463292
ebfC,585.2400224,17.74670536,101.427277
recR,397.244,13.04304488,138.0045853
yaaL,474.4334586,14.97432513,120.2057511
bofA,57.42765706,4.54083998,396.4024295
rrnA16S,585.2400224,17.74670536,101.427277
trnAIle,585.2400224,17.74670536,101.427277
trnAAla,585.2400224,17.74670536,101.427277
rrnA23S,585.2400224,17.74670536,101.427277
rrnA5S,585.2400224,17.74670536,101.427277
csfB,19.70099768,3.596918962,500.4282885
xpaC,106.975,5.7805145,311.390967
yaaN,107.718,5.79910436,310.3927587
yaaO,165.6522204,7.248618554,248.3231786
tmk,182.1061028,7.660294692,234.9779052
darA,585.2400224,17.74670536,101.427277
yaaR,283.693,10.20199886,176.4360127
holB,306.145,10.7637479,167.2279969
ricT,585.2400224,17.74670536,101.427277
dnaH,355.7283282,12.00432277,149.9459848
trmNF,585.2400224,17.74670536,101.427277
yazA,161.7515461,7.151023683,251.7122135
rsmI,140.502,6.61936004,271.9296109
abrB,2799.300959,73.14250999,24.6094918
metS,351.723,11.90410946,151.208287
dayD,585.2400224,17.74670536,101.427277
yabE,436.564,14.02683128,128.3254902
rnmV,267.5651176,9.798479242,183.7019761
rsmA,585.2400224,17.74670536,101.427277
prtG,585.2400224,17.74670536,101.427277
veg,435.8130006,14.00804128,128.4976225
sspF,11.0022084,3.379275254,532.6585923
ispE,272.237,9.91536974,181.5363468
purR,586.8979068,17.78818563,101.1907587
ridA,585.2400224,17.74670536,101.427277
spoVG,151.1235753,6.885111854,261.4336612
glmU,585.2400224,17.74670536,101.427277
prs,1094.75,30.494645,59.02675699
ctc,1729.47,46.3753394,38.81373211
pth,330.356,11.36950712,158.3182086
fin,377.521,12.54957542,143.4311473
mfd,256.852,9.53043704,188.8685684
spoVT,280.272,10.11640544,177.9288118
yabM,77.8625,5.05211975,356.2860916
yabN,159.2103298,7.087442452,253.9703161
hslR,214.6963587,8.475702895,212.371767
spcP,585.2400224,17.74670536,101.427277
spcQ,585.2400224,17.74670536,101.427277
divIC,562.2965577,17.17265987,104.8177751
yabR,1937.405092,51.5778754,34.89868448
trnSLMet1,585.2400224,17.74670536,101.427277
trnSLGlu1,585.2400224,17.74670536,101.427277
spoIIE,35.1957,3.984596414,451.7396025
yabS,44.0998,4.207376996,427.8199937
prkT,585.2400224,17.74670536,101.427277
tilS,571.323,17.39850146,103.4571859
hprT,1166.19,32.2820738,55.75849963
ftsH,2310.88,60.9222176,29.54587129
coaX,251.6439447,9.400131496,191.486683
hslO,313.857,10.95670214,164.2830093
yacD,118.25,6.062615,296.9015845
cysK,288.176,10.31416352,174.517303
pabB,84.7267,5.223862034,344.572653
